"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyta_part";"dist_barycenter"
"ANT08_b";"ANTERNE";"ANT";1610;"LIT";"B";8;"ANT08";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT08_b";"sample";"ANT";0,399425287356322;0,724413119789552
"ANT08_c";"ANTERNE";"ANT";1610;"LIT";"B";8;"ANT08";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT08_c";"sample";"ANT";0,642506857285346;0,808952301176134
"ANT09_a";"ANTERNE";"ANT";1610;"LIT";"C";9;"ANT09";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT09_a";"sample";"ANT";0,487423432816369;0,592879956143089
"ANT09_c";"ANTERNE";"ANT";1610;"LIT";"C";9;"ANT09";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT09_c";"sample";"ANT";0,374631385988683;0,592879956143089
"ANT10_b";"ANTERNE";"ANT";1610;"SOL";"A";10;"ANT10";"Milieu forestier";"ANT_1610_SOL";4;"ANT";8,82679796233333;0,592684964333333;4,56;17,82153322;262,946666666667;810,723333333333;130,303333333333;159,773333333333;290,56;7487,57333333333;331,856666666667;"Milieu forestier";2000;"ANT10_b";"sample";"ANT";0,398249452954048;0,670033107049789
"ANT10_c";"ANTERNE";"ANT";1610;"SOL";"A";10;"ANT10";"Milieu forestier";"ANT_1610_SOL";4;"ANT";8,82679796233333;0,592684964333333;4,56;17,82153322;262,946666666667;810,723333333333;130,303333333333;159,773333333333;290,56;7487,57333333333;331,856666666667;"Milieu forestier";2000;"ANT10_c";"sample";"ANT";0,427603067007445;0,670033107049789
"ANT11_c";"ANTERNE";"ANT";1610;"SOL";"B";11;"ANT11";"Milieu forestier";"ANT_1610_SOL";4;"ANT";8,82679796233333;0,592684964333333;4,56;17,82153322;262,946666666667;810,723333333333;130,303333333333;159,773333333333;290,56;7487,57333333333;331,856666666667;"Milieu forestier";2000;"ANT11_c";"sample";"ANT";0,296528173022197;0
"ANT12_a";"ANTERNE";"ANT";1610;"SOL";"C";12;"ANT12";"Milieu forestier";"ANT_1610_SOL";4;"ANT";8,82679796233333;0,592684964333333;4,56;17,82153322;262,946666666667;810,723333333333;130,303333333333;159,773333333333;290,56;7487,57333333333;331,856666666667;"Milieu forestier";2000;"ANT12_a";"sample";"ANT";0,189448441247002;0,816496580927726
"ANT12_b";"ANTERNE";"ANT";1610;"SOL";"C";12;"ANT12";"Milieu forestier";"ANT_1610_SOL";4;"ANT";8,82679796233333;0,592684964333333;4,56;17,82153322;262,946666666667;810,723333333333;130,303333333333;159,773333333333;290,56;7487,57333333333;331,856666666667;"Milieu forestier";2000;"ANT12_b";"sample";"ANT";0,57847533632287;0,816496580927726
"ANT12_c";"ANTERNE";"ANT";1610;"SOL";"C";12;"ANT12";"Milieu forestier";"ANT_1610_SOL";4;"ANT";8,82679796233333;0,592684964333333;4,56;17,82153322;262,946666666667;810,723333333333;130,303333333333;159,773333333333;290,56;7487,57333333333;331,856666666667;"Milieu forestier";2000;"ANT12_c";"sample";"ANT";0,365200093611046;0,816496580927726
"ANT13_b";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_b";"sample";"ANT";0,375413213241987;0,416669404770481
"ANT13_c";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_c";"sample";"ANT";0,471448965024982;0,416669404770481
"ANT14_a";"ANTERNE";"ANT";1750;"LIT";"B";14;"ANT14";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT14_a";"sample";"ANT";0,644425675675676;0,555698827517919
"ANT14_b";"ANTERNE";"ANT";1750;"LIT";"B";14;"ANT14";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT14_b";"sample";"ANT";0,55625838604562;0,568598170691135
"ANT14_c";"ANTERNE";"ANT";1750;"LIT";"B";14;"ANT14";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT14_c";"sample";"ANT";0,658871315157856;0,482266090253109
"ANT15_a";"ANTERNE";"ANT";1750;"LIT";"C";15;"ANT15";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT15_a";"sample";"ANT";0,590553706747925;0,430588235995665
